sep=;
Release Tag;API Item
internal;DataLocation 
internal;DefaultSupportedTypes
internal;FileAccessKey 
internal;RealityData 
internal;RealityDataAccessClient 
public;RealityDataQueryCriteria
internal;RealityDataRelationship 
internal;RealityDataRequestQueryOptions 
