sep=;
beta;class;ElementSubTreeDeleter
beta;class;ElementTreeBottomUp
beta;class;ElementTreeDeleter
beta;interface;ElementTreeWalkerModelInfo
beta;class;ElementTreeWalkerScope
public;class;ElementUniqueAspect
preview;class;ElementUniqueAspect
public;class;ElevationCallout
public;class;EmbeddedFileLink
preview;class;EmbeddedFileLink
beta;interface;EmbedFontFileArgs
public;class;Entity
preview;class;Entity
public;type;EntityClassType
preview;type;EntityClassType
public;class;EntityJsClassMap
alpha;namespace;EntityReferences
internal;function;isValid
internal;function;makeInvalid
internal;function;typeFromClass
beta;interface;EvaluateFieldsArgs
public;namespace;ExportGraphics
public;type;ExportGraphicsFunction
public;interface;ExportGraphicsInfo
public;interface;ExportGraphicsLines
public;interface;ExportGraphicsMesh
public;class;ExportGraphicsMeshSubsetVisitor
public;class;ExportGraphicsMeshVisitor
public;interface;ExportGraphicsOptions
public;type;ExportLinesFunction
public;interface;ExportLinesInfo
public;interface;ExportPartDisplayInfo
public;type;ExportPartFunction
public;interface;ExportPartGraphicsOptions
public;interface;ExportPartInfo
public;interface;ExportPartInstanceInfo
public;type;ExportPartLinesFunction
public;interface;ExportPartLinesInfo
beta;interface;ExportSchemaArgs
beta;class;ExternalSource
public;class;ExternalSourceAspect
preview;class;ExternalSourceAspect
public;namespace;ExternalSourceAspect
preview;namespace;ExternalSourceAspect
beta;class;ExternalSourceAttachment
beta;class;ExternalSourceAttachmentAttachesSource
beta;class;ExternalSourceGroup
beta;class;ExternalSourceGroupGroupsSources
beta;class;ExternalSourceIsInRepository
beta;class;ExternalSourceOwnsAttachments
public;class;FileNameResolver
deprecated;class;FileNameResolver
internal;type;FindFontId
internal;type;FindTextStyle
beta;class;FolderContainsRepositories
alpha;class;FolderLink
beta;interface;FontFile
beta;namespace;FontFile
alpha;function;createFromRscFontBlob
public;class;FunctionalBreakdownElement
public;class;FunctionalComponentElement
public;class;FunctionalComposite
public;class;FunctionalElement
public;class;FunctionalElementIsOfType
public;class;FunctionalModel
public;class;FunctionalPartition
public;class;FunctionalSchema
public;class;FunctionalType
internal;interface;GcsDbProps
internal;function;generateElementGraphics
public;class;GenericDocument
public;class;GenericGraphicalModel3d
public;class;GenericGraphicalType2d
public;class;GenericPhysicalMaterial
public;class;GenericPhysicalType
public;class;GenericSchema
internal;class;GeoCoordConfig
public;class;GeometricElement
preview;class;GeometricElement
public;class;GeometricElement2d
preview;class;GeometricElement2d
public;class;GeometricElement2dHasTypeDefinition
public;class;GeometricElement3d
preview;class;GeometricElement3d
public;class;GeometricElement3dHasTypeDefinition
public;class;GeometricModel
preview;class;GeometricModel
public;class;GeometricModel2d
preview;class;GeometricModel2d
public;class;GeometricModel3d
preview;class;GeometricModel3d
public;class;GeometryPart
preview;class;GeometryPart
beta;function;getAvailableCoordinateReferenceSystems
beta;interface;GetAvailableCoordinateReferenceSystemsArgs
beta;interface;GetWorkspaceContainerArgs
beta;interface;GetWorkspaceResourceArgs
public;class;Graphic3d
public;class;GraphicalElement2d
preview;class;GraphicalElement2d
public;class;GraphicalElement2dIsOfType
public;class;GraphicalElement3d
preview;class;GraphicalElement3d
public;class;GraphicalElement3dRepresentsElement
public;class;GraphicalModel2d
preview;class;GraphicalModel2d
public;class;GraphicalModel3d
preview;class;GraphicalModel3d
public;class;GraphicalPartition3d
preview;class;GraphicalPartition3d
public;class;GraphicalType2d
preview;class;GraphicalType2d
public;class;Group
public;class;GroupImpartsToMembers
public;class;GroupInformationElement
preview;class;GroupInformationElement
public;class;GroupInformationModel
preview;class;GroupInformationModel
public;class;GroupInformationPartition
preview;class;GroupInformationPartition
public;class;GroupModel
public;function;imageBufferFromImageSource
public;interface;ImageBufferFromImageSourceArgs
public;function;imageSourceFromImageBuffer
public;interface;ImageSourceFromImageBufferArgs
public;class;IModelDb
public;namespace;IModelDb
internal;enum;TileContentState
internal;class;Tiles
beta;interface;IModelDbFonts
beta;class;IModelElementCloneContext
public;class;IModelHost
public;class;IModelHostConfiguration
public;interface;IModelHostOptions
public;interface;IModelIdArg
public;class;IModelJsFs
public;class;IModelJsFsStats
public;interface;IModelNameArg
internal;class;IModelNative
public;class;InformationContentElement
preview;class;InformationContentElement
