sep=;
Release Tag;API Item
alpha;ClientTelemetryEvent 
alpha;class FrontendTelemetryClient 
alpha;TelemetryClient
public;TelemetryClientLoggerCategory
alpha;TelemetryEvent
alpha;TelemetryManager
