sep=;
Release Tag;API Item Type;API Item Name
internal;function;almostEqual
beta;interface;AlternateUnitLabelsProvider
beta;class;BadUnit
beta;class;BaseFormat
beta;class;BasicUnit
beta;interface;CloneOptions
beta;interface;CloneUnit
beta;interface;CustomFormatProps
beta;enum;DecimalPrecision
beta;class;Format
beta;interface;FormatProps
internal;const;formatStringRgx
beta;class;Formatter
beta;class;FormatterSpec
beta;enum;FormatTraits
beta;function;formatTraitsToArray
beta;enum;FormatType
beta;function;formatTypeToString
beta;enum;FractionalPrecision
internal;function;getItemNamesFromFormatString
beta;function;getTraitString
beta;const;isCustomFormatProps
beta;function;parseDecimalPrecision
beta;interface;ParsedQuantity
beta;enum;ParseError
beta;function;parseFormatTrait
beta;function;parseFormatType
beta;function;parseFractionalPrecision
beta;function;parsePrecision
beta;interface;ParseQuantityError
beta;class;Parser
beta;class;ParserSpec
beta;function;parseScientificType
beta;function;parseShowSignOption
beta;interface;PotentialParseUnit
beta;class;Quantity
internal;class;QuantityConstants
beta;class;QuantityError
beta;type;QuantityParseResult
beta;interface;QuantityProps
beta;enum;QuantityStatus
beta;enum;ScientificType
beta;function;scientificTypeToString
beta;enum;ShowSignOption
beta;function;showSignOptionToString
beta;interface;UnitConversionProps
beta;interface;UnitConversionSpec
alpha;interface;UnitExtraData
beta;interface;UnitProps
beta;interface;UnitsProvider
beta;type;UnitSystemKey
